"","Word","Freq","Prop"
"2116","ledge",1,3.7811472000605e-05
"2117","length",1,3.7811472000605e-05
"2118","lessen",1,3.7811472000605e-05
"2119","lesson",1,3.7811472000605e-05
"2120","lesson book",1,3.7811472000605e-05
"2121","lesson books",1,3.7811472000605e-05
"2122","lest",1,3.7811472000605e-05
"2123","letters",1,3.7811472000605e-05
"2124","lewis",1,3.7811472000605e-05
"2125","licking",1,3.7811472000605e-05
"2126","lifted",1,3.7811472000605e-05
"2127","likes",1,3.7811472000605e-05
"2128","limbs",1,3.7811472000605e-05
"2129","lines",1,3.7811472000605e-05
"2130","linked",1,3.7811472000605e-05
"2131","lips",1,3.7811472000605e-05
"2132","listened",1,3.7811472000605e-05
"2133","listeners",1,3.7811472000605e-05
"2134","lit",1,3.7811472000605e-05
"2135","lizard s",1,3.7811472000605e-05
"2136","lock",1,3.7811472000605e-05
"2137","locked",1,3.7811472000605e-05
"2138","lodging",1,3.7811472000605e-05
"2139","london",1,3.7811472000605e-05
"2140","look out",1,3.7811472000605e-05
"2141","looking glass",1,3.7811472000605e-05
"2142","loose",1,3.7811472000605e-05
"2143","lose",1,3.7811472000605e-05
"2144","losing",1,3.7811472000605e-05
"2145","louder",1,3.7811472000605e-05
"2146","loveliest",1,3.7811472000605e-05
"2147","loving",1,3.7811472000605e-05
"2148","low spirited",1,3.7811472000605e-05
"2149","lower",1,3.7811472000605e-05
"2150","lowing",1,3.7811472000605e-05
"2151","lullaby",1,3.7811472000605e-05
"2152","ma am",1,3.7811472000605e-05
"2153","machines",1,3.7811472000605e-05
"2154","mad at",1,3.7811472000605e-05
"2155","magic",1,3.7811472000605e-05
"2156","magpie",1,3.7811472000605e-05
"2157","mallets",1,3.7811472000605e-05
"2158","managing",1,3.7811472000605e-05
"2159","manners",1,3.7811472000605e-05
"2160","maps",1,3.7811472000605e-05
"2161","march just",1,3.7811472000605e-05
"2162","marched",1,3.7811472000605e-05
"2163","marmalade",1,3.7811472000605e-05
"2164","maybe",1,3.7811472000605e-05
"2165","mayn t",1,3.7811472000605e-05
"2166","meal",1,3.7811472000605e-05
"2167","means to make anything prettier",1,3.7811472000605e-05
"2168","meanwhile",1,3.7811472000605e-05
"2169","measure",1,3.7811472000605e-05
"2170","meat",1,3.7811472000605e-05
"2171","meeting",1,3.7811472000605e-05
"2172","memorandum",1,3.7811472000605e-05
"2173","memory",1,3.7811472000605e-05
"2174","merrily",1,3.7811472000605e-05
"2175","mice oh",1,3.7811472000605e-05
